time,steps,action,reward,seed,config_id,area,frame,state,experiment.update_freq,lambda,alpha,representation.tiles,representation.wrap_time,environment.zone,representation.tilings,epsilon,experiment.step_duration,representation.which_tc,environment,algorithm
1743748233.4676127,1,1,0.5714285969734192,0,-7091294343972981023,"[ 90.1875 250.8125 346.875  577.3125 385.625  306.0625 147.625  357.3125
 379.5625 694.5625 201.1875 488.9375 387.6875 344.625  288.1875 369.25
 410.0625 558.375  458.8125 305.4375  83.5625 499.5    502.9375 204.1875
 337.375  329.0625 440.125  343.5625 283.625  428.75   392.375  364.9375
 253.1875 416.6875 534.8125 428.4375]",0,[ 0.27110115 -2.78638887],1,0.9,0.1,4,1,2,32,0.1,300,RichTileCoder,P4,tc-ESARSA
1743748534.1420362,2,0,-2.786388874053955,0,-7091294343972981023,"[164.0625 275.875  349.375  610.9375 367.25   254.0625 149.9375 366.625
 404.75   644.875  194.625  356.75   383.625  446.1875 296.5625 359.0625
 406.6875 560.875  438.875  239.8125  73.1875 493.1875 487.625  175.375
 245.4375 274.25   440.25   349.375  258.5625 425.5    386.     343.4375
 210.6875 394.     515.25   405.125 ]",1,[ 0.27457338 -7.51565456],1,0.9,0.1,4,1,2,32,0.1,300,RichTileCoder,P4,tc-ESARSA
1743748833.5053582,3,0,-7.515654563903809,0,-7091294343972981023,"[114.1875 333.5625 314.0625 462.875  361.5    272.25   144.4375 320.8125
 260.     665.8125 205.125  442.     356.125  306.625  297.625  384.6875
 409.625  545.4375 414.3125 206.5     76.1875 474.5    482.0625 215.75
 306.1875 261.3125 397.3125 335.5625 236.375  403.3125 360.75   330.4375
 206.     376.625  469.375  374.8125]",2,[ 0.2780456  -9.15776062],1,0.9,0.1,4,1,2,32,0.1,300,RichTileCoder,P4,tc-ESARSA
1743749134.077616,4,3,-9.157760620117188,0,-7091294343972981023,"[ 81.75   254.75   309.875  592.0625 248.375  246.9375 137.125  330.5
 264.75   668.0625 214.     375.25   361.0625 314.25   298.6875 381.625
 420.6875 566.125  418.125  214.25    88.625  492.5    478.625  204.0625
 309.8125 306.6875 547.6875 347.5625 253.     426.6875 364.3125 347.875
 221.125  386.5625 499.875  401.125 ]",3,[ 0.28151782 -6.13254595],1,0.9,0.1,4,1,2,32,0.1,300,RichTileCoder,P4,tc-ESARSA
1743749437.21515,5,3,-6.1325459480285645,0,-7091294343972981023,"[ 86.9375 242.9375 341.8125 503.125  398.8125 301.75   161.3125 358.5
 394.3125 748.9375 212.375  492.125  352.75   320.75   299.3125 398.3125
 419.5625 588.75   460.5    237.9375  84.25   480.0625 419.5    289.9375
 366.25   296.0625 440.0625 432.75   268.5    396.9375 411.375  505.3125
 235.     397.25   536.9375 416.125 ]",4,[0.28499004 0.42152557],1,0.9,0.1,4,1,2,32,0.1,300,RichTileCoder,P4,tc-ESARSA
1743749736.2222362,6,1,0.4215255677700043,0,-7091294343972981023,"[ 91.25   246.0625 339.8125 498.5625 406.     317.25   159.25   358.0625
 390.375  736.5625 214.1875 478.3125 352.5    318.5625 301.     408.5625
 424.5625 579.875  461.1875 244.25    94.0625 476.     416.6875 293.625
 281.375  309.625  439.9375 433.375  266.25   379.625  413.6875 500.6875
 230.6875 442.875  510.875  421.875 ]",5,[0.28846226 0.34524184],1,0.9,0.1,4,1,2,32,0.1,300,RichTileCoder,P4,tc-ESARSA
1743750034.0425925,7,2,0.34524184465408325,0,-7091294343972981023,"[119.9375 263.625  360.625  577.     369.4375 255.9375 156.75   365.3125
 389.5625 655.5625 206.0625 427.6875 344.1875 425.25   308.25   373.
 415.6875 557.9375 443.     228.6875  74.3125 494.8125 484.1875 160.625
 312.1875 284.5625 448.0625 422.0625 312.75   434.8125 368.125  342.125
 208.25   368.8125 500.75   402.4375]",6,[ 0.29193449 -0.82150292],1,0.9,0.1,4,1,2,32,0.1,300,RichTileCoder,P4,tc-ESARSA
1743750333.0540197,8,2,-0.8215029239654541,0,-7091294343972981023,"[108.9375 256.9375 359.375  583.75   385.5    291.0625 156.375  356.9375
 370.875  652.875  207.875  453.125  347.0625 434.5    304.     394.25
 421.125  554.3125 468.1875 233.25    80.5625 482.5625 414.9375 288.375
 325.4375 276.375  434.     336.5625 277.875  438.0625 384.5625 366.625
 231.625  402.25   515.125  426.875 ]",7,[ 0.29540671 -0.26513854],1,0.9,0.1,4,1,2,32,0.1,300,RichTileCoder,P4,tc-ESARSA
1743750632.629392,9,3,-0.26513853669166565,0,-7091294343972981023,"[ 99.5    249.5625 361.4375 591.1875 386.6875 280.8125 156.1875 346.75
 348.     708.875  203.3125 462.125  344.5    332.     302.1875 399.625
 407.5    551.     456.0625 293.      77.1875 497.625  506.1875 189.5
 332.6875 282.875  430.625  336.8125 262.125  439.25   393.6875 363.5625
 231.3125 364.3125 528.375  434.125 ]",8,[ 0.29887893 -0.53966755],1,0.9,0.1,4,1,2,32,0.1,300,RichTileCoder,P4,tc-ESARSA
1743750936.107932,10,2,-0.539667546749115,0,-7091294343972981023,"[ 83.5625 241.125  345.625  509.9375 400.5    299.25   163.875  340.4375
 386.125  554.8125 208.9375 495.1875 264.0625 341.5    304.875  413.75
 440.375  543.5    450.5625 236.125   98.75   461.375  502.     192.3125
 358.6875 362.8125 432.     340.625  265.1875 408.375  406.375  501.875
 323.9375 343.9375 508.25   422.5625]",9,[0.30235115 0.30916476],1,0.9,0.1,4,1,2,32,0.1,300,RichTileCoder,P4,tc-ESARSA
