timestamp,plant 1 (4-12-7),plant 2 (4-12-7),plant 3 (4-12-7),plant 4 (4-12-7),plant 5 (4-12-7),plant 6 (4-12-7),plant 7 (4-12-7),plant 8 (4-12-7),plant 9 (10-6),plant 10 (10-6),plant 11 (10-6),plant 12 (10-6),plant 13 (10-6),plant 14 (10-6),plant 15 (10-6),plant 16 (10-6),plant 17 (12-2),plant 18 (12-2),plant 19 (12-2),plant 20 (12-2),plant 21 (12-2),plant 22 (12-2),plant 23 (12-2),plant 24 (12-2),plant 25 (9-11),plant 26 (9-11),plant 27 (9-11),plant 28 (9-11),plant 29 (9-11),plant 30 (9-11),plant 31 (9-11),plant 32 (9-11),plant 33 (11-13),plant 34 (11-13),plant 35 (11-13),plant 36 (11-13),plant 37 (11-13),plant 38 (11-13),plant 39 (11-13),plant 40 (11-13),plant 41 (WT),plant 42 (WT),plant 43 (WT),plant 44 (WT),plant 45 (WT),plant 46 (WT),plant 47 (WT),plant 48 (WT),plant 49 (10-6?),plant 50 (12-5?),plant 51 (9-5?),plant 52 (4-12-7?),plant 53 (10-14?),plant 54 (WT?),plant 55 (12-2?),plant 56 (9-11?),plant 57 (4-11-4),plant 58 (WT),plant 59 (11-13),plant 60 (9-11),plant 61 (12-2),plant 62 (11-19),plant 63 (10-6),plant 64 (4-12-7)
2024-02-14 05:00,480.0,465.0,544.0,423.0,597.0,452.0,453.0,353.0,514.0,561.0,360.0,561.0,408.0,474.0,540.0,572.0,631.0,494.0,544.0,431.0,354.0,603.0,433.0,507.0,393.0,451.0,317.0,599.0,480.0,449.0,429.0,567.0,289.0,376.0,331.0,382.0,391.0,520.0,450.0,475.0,373.0,474.0,414.0,487.0,399.0,459.0,422.0,593.0,421.0,371.0,504.0,384.0,331.0,304.0,420.0,416.0,315.0,353.0,309.0,434.0,329.0,309.0,417.0,316.0
2024-02-14 05:10,482.0,484.0,561.0,429.0,636.0,478.0,475.0,358.0,547.0,593.0,380.0,582.0,432.0,488.0,557.0,583.0,635.0,506.0,574.0,435.0,316.0,630.0,462.0,513.0,418.0,475.0,341.0,581.0,495.0,459.0,437.0,575.0,305.0,392.0,339.0,418.0,406.0,534.0,462.0,488.0,384.0,498.0,415.0,499.0,407.0,479.0,433.0,607.0,428.0,378.0,525.0,395.0,336.0,311.0,424.0,426.0,308.0,362.0,325.0,438.0,335.0,322.0,426.0,322.0
2024-02-14 05:20,506.0,495.0,580.0,454.0,635.0,485.0,486.0,382.0,547.0,598.0,391.0,606.0,452.0,508.0,555.0,606.0,642.0,525.0,582.0,441.0,326.0,648.0,454.0,524.0,427.0,472.0,348.0,542.0,550.0,460.0,444.0,583.0,302.0,402.0,341.0,417.0,409.0,549.0,467.0,491.0,387.0,505.0,420.0,503.0,409.0,491.0,443.0,631.0,435.0,388.0,530.0,404.0,342.0,305.0,430.0,429.0,310.0,353.0,322.0,439.0,335.0,325.0,435.0,325.0
2024-02-14 05:30,522.0,501.0,605.0,470.0,660.0,499.0,503.0,390.0,569.0,609.0,412.0,631.0,461.0,525.0,569.0,619.0,666.0,547.0,598.0,452.0,334.0,666.0,475.0,535.0,448.0,488.0,354.0,558.0,509.0,485.0,459.0,602.0,315.0,413.0,348.0,424.0,419.0,557.0,480.0,505.0,401.0,519.0,434.0,508.0,426.0,496.0,442.0,642.0,440.0,410.0,550.0,416.0,347.0,322.0,442.0,443.0,322.0,385.0,334.0,461.0,344.0,334.0,448.0,332.0
2024-02-14 05:40,515.0,494.0,596.0,465.0,642.0,493.0,493.0,390.0,550.0,601.0,396.0,609.0,457.0,517.0,571.0,608.0,684.0,520.0,588.0,447.0,331.0,650.0,463.0,526.0,430.0,478.0,353.0,556.0,509.0,468.0,437.0,597.0,314.0,410.0,341.0,420.0,410.0,552.0,468.0,505.0,399.0,510.0,423.0,503.0,419.0,492.0,445.0,646.0,433.0,400.0,542.0,410.0,345.0,316.0,437.0,436.0,310.0,359.0,334.0,442.0,337.0,330.0,433.0,330.0
2024-02-14 05:50,515.0,497.0,588.0,457.0,643.0,500.0,490.0,384.0,548.0,608.0,405.0,618.0,448.0,527.0,563.0,601.0,644.0,514.0,582.0,458.0,324.0,648.0,470.0,526.0,430.0,476.0,346.0,520.0,506.0,468.0,443.0,599.0,312.0,403.0,343.0,425.0,412.0,556.0,467.0,496.0,386.0,508.0,422.0,506.0,424.0,492.0,444.0,642.0,445.0,397.0,533.0,415.0,352.0,320.0,434.0,436.0,320.0,363.0,325.0,446.0,336.0,329.0,440.0,327.0
2024-02-14 06:00,512.0,499.0,599.0,460.0,640.0,501.0,490.0,382.0,541.0,612.0,402.0,625.0,461.0,520.0,562.0,602.0,647.0,510.0,582.0,460.0,375.0,660.0,462.0,522.0,433.0,480.0,351.0,535.0,514.0,473.0,445.0,601.0,313.0,407.0,342.0,427.0,408.0,554.0,467.0,497.0,384.0,522.0,421.0,498.0,424.0,495.0,438.0,644.0,445.0,409.0,537.0,419.0,352.0,319.0,437.0,436.0,313.0,368.0,323.0,447.0,335.0,328.0,439.0,322.0
2024-02-14 06:10,498.0,498.0,600.0,452.0,635.0,501.0,492.0,389.0,554.0,609.0,408.0,622.0,456.0,529.0,560.0,604.0,659.0,513.0,585.0,461.0,319.0,650.0,468.0,524.0,431.0,473.0,350.0,534.0,508.0,467.0,443.0,599.0,308.0,396.0,344.0,428.0,413.0,555.0,472.0,496.0,387.0,505.0,427.0,505.0,420.0,499.0,440.0,641.0,437.0,402.0,533.0,411.0,346.0,320.0,429.0,437.0,316.0,365.0,331.0,451.0,349.0,328.0,445.0,327.0
2024-02-14 06:20,522.0,505.0,614.0,468.0,638.0,522.0,496.0,394.0,562.0,619.0,419.0,639.0,469.0,532.0,580.0,612.0,701.0,533.0,604.0,469.0,326.0,660.0,473.0,530.0,437.0,493.0,355.0,538.0,522.0,477.0,456.0,615.0,317.0,406.0,346.0,433.0,425.0,564.0,473.0,504.0,399.0,519.0,430.0,513.0,430.0,503.0,449.0,652.0,460.0,408.0,555.0,426.0,361.0,320.0,442.0,457.0,320.0,368.0,337.0,451.0,344.0,337.0,445.0,329.0
2024-02-14 06:30,505.0,497.0,603.0,456.0,648.0,508.0,499.0,395.0,545.0,613.0,415.0,633.0,465.0,519.0,578.0,607.0,671.0,521.0,583.0,464.0,323.0,658.0,474.0,519.0,429.0,476.0,350.0,537.0,508.0,469.0,452.0,607.0,311.0,405.0,343.0,431.0,419.0,558.0,468.0,520.0,388.0,512.0,426.0,502.0,426.0,503.0,444.0,645.0,445.0,403.0,539.0,415.0,355.0,318.0,426.0,441.0,316.0,365.0,337.0,431.0,346.0,331.0,438.0,319.0
