timestamp,plant 1 (11-19),plant 2 (11-19),plant 3 (11-19),plant 4 (11-19),plant 5 (11-19),plant 6 (11-19),plant 7 (11-19),plant 8 (11-19),plant 9 (12-5),plant 10 (12-5),plant 11 (12-5),plant 12 (12-5),plant 13 (12-5),plant 14 (12-5),plant 15 (12-5),plant 16 (12-5),plant 17 (WT),plant 18 (WT),plant 19 (WT),plant 20 (WT),plant 21 (WT),plant 22 (WT),plant 23 (WT),plant 24 (WT),plant 25 (9-5),plant 26 (9-5),plant 27 (9-5),plant 28 (9-5),plant 29 (9-5),plant 30 (9-5),plant 31 (9-5),plant 32 (9-5),plant 33 (10-14),plant 34 (10-14),plant 35 (10-14),plant 36 (10-14),plant 37 (10-14),plant 38 (10-14),plant 39 (10-14),plant 40 (10-14),plant 41 (4-11-4),plant 42 (4-11-4),plant 43 (4-11-4),plant 44 (4-11-4),plant 45 (4-11-4),plant 46 (4-11-4),plant 47 (4-11-4),plant 48 (4-11-4),plant 49 (12-5),plant 50 (4-11-4),plant 51 (WT),plant 52 (10-14),plant 53 (4-12-7),plant 54 (9-5),plant 55 (12-5),plant 56 (10-6),plant 57 (9-5),plant 58 (10-14?),plant 59 (11-19),plant 60 (12-2),plant 61 (9-11),plant 62 (11-13),plant 63 (WT),plant 64 (4-11-4)
2024-02-14 05:00,803.0,394.0,641.0,597.0,538.0,513.0,459.0,575.0,495.0,484.0,656.0,578.0,498.0,475.0,727.0,529.0,555.0,487.0,466.0,460.0,547.0,276.0,514.0,372.0,311.0,490.0,393.0,554.0,462.0,519.0,411.0,473.0,225.0,439.0,787.0,485.0,341.0,503.0,334.0,318.0,560.0,687.0,571.0,620.0,599.0,625.0,539.0,462.0,433.0,381.0,457.0,419.0,402.0,349.0,374.0,354.0,328.0,289.0,464.0,325.0,397.0,262.0,391.0,538.0
2024-02-14 05:10,854.0,408.0,670.0,628.0,583.0,544.0,498.0,602.0,511.0,512.0,678.0,593.0,526.0,494.0,758.0,552.0,602.0,520.0,482.0,487.0,568.0,286.0,537.0,383.0,329.0,502.0,411.0,571.0,472.0,552.0,424.0,493.0,231.0,461.0,801.0,503.0,358.0,510.0,344.0,337.0,572.0,694.0,606.0,630.0,602.0,626.0,545.0,477.0,436.0,377.0,467.0,423.0,413.0,349.0,385.0,360.0,334.0,292.0,472.0,324.0,391.0,276.0,403.0,554.0
2024-02-14 05:20,868.0,419.0,668.0,631.0,577.0,539.0,493.0,606.0,515.0,516.0,683.0,601.0,526.0,502.0,760.0,556.0,599.0,529.0,489.0,496.0,572.0,285.0,543.0,384.0,329.0,506.0,415.0,584.0,478.0,539.0,432.0,495.0,225.0,458.0,806.0,506.0,356.0,517.0,353.0,329.0,580.0,688.0,607.0,629.0,588.0,621.0,552.0,472.0,437.0,383.0,475.0,423.0,408.0,368.0,384.0,372.0,340.0,296.0,493.0,324.0,456.0,269.0,407.0,552.0
2024-02-14 05:30,882.0,420.0,688.0,636.0,588.0,559.0,495.0,606.0,516.0,531.0,688.0,599.0,518.0,515.0,765.0,567.0,614.0,540.0,494.0,506.0,573.0,292.0,544.0,388.0,331.0,518.0,417.0,577.0,499.0,539.0,428.0,505.0,228.0,465.0,816.0,505.0,365.0,515.0,343.0,345.0,589.0,692.0,617.0,627.0,614.0,633.0,561.0,474.0,451.0,388.0,470.0,427.0,419.0,368.0,390.0,376.0,343.0,288.0,500.0,324.0,450.0,277.0,416.0,556.0
2024-02-14 05:40,891.0,427.0,678.0,626.0,593.0,550.0,493.0,604.0,520.0,506.0,694.0,593.0,528.0,497.0,770.0,559.0,617.0,538.0,498.0,504.0,564.0,286.0,556.0,382.0,324.0,514.0,419.0,579.0,484.0,547.0,432.0,503.0,225.0,472.0,822.0,502.0,367.0,515.0,355.0,345.0,578.0,698.0,618.0,634.0,615.0,632.0,557.0,483.0,445.0,393.0,471.0,428.0,419.0,363.0,389.0,382.0,350.0,289.0,486.0,323.0,447.0,275.0,419.0,559.0
2024-02-14 05:50,878.0,422.0,667.0,633.0,600.0,561.0,500.0,608.0,512.0,523.0,693.0,601.0,532.0,504.0,760.0,564.0,618.0,537.0,493.0,505.0,564.0,295.0,560.0,380.0,329.0,525.0,420.0,586.0,488.0,543.0,434.0,508.0,231.0,462.0,827.0,493.0,362.0,514.0,351.0,339.0,575.0,696.0,633.0,642.0,609.0,639.0,550.0,476.0,444.0,391.0,467.0,424.0,424.0,372.0,393.0,384.0,342.0,290.0,495.0,329.0,454.0,281.0,410.0,556.0
2024-02-14 06:00,848.0,424.0,660.0,626.0,588.0,550.0,487.0,597.0,505.0,516.0,684.0,598.0,530.0,501.0,753.0,555.0,616.0,530.0,486.0,508.0,559.0,288.0,542.0,379.0,323.0,518.0,412.0,585.0,479.0,540.0,438.0,506.0,228.0,463.0,824.0,497.0,355.0,514.0,351.0,327.0,574.0,700.0,631.0,636.0,604.0,635.0,552.0,475.0,445.0,379.0,465.0,422.0,421.0,356.0,385.0,378.0,343.0,281.0,496.0,324.0,410.0,271.0,402.0,550.0
2024-02-14 06:10,864.0,427.0,673.0,632.0,589.0,552.0,495.0,599.0,510.0,520.0,685.0,594.0,524.0,500.0,757.0,560.0,612.0,535.0,489.0,509.0,565.0,290.0,556.0,377.0,332.0,519.0,416.0,591.0,482.0,545.0,440.0,512.0,230.0,469.0,840.0,504.0,359.0,513.0,353.0,336.0,563.0,699.0,631.0,640.0,615.0,642.0,549.0,480.0,453.0,388.0,471.0,428.0,428.0,365.0,392.0,379.0,349.0,294.0,480.0,331.0,391.0,277.0,414.0,556.0
2024-02-14 06:20,869.0,430.0,665.0,623.0,591.0,551.0,496.0,599.0,523.0,518.0,690.0,598.0,524.0,502.0,756.0,563.0,614.0,528.0,490.0,504.0,570.0,294.0,549.0,378.0,328.0,510.0,413.0,593.0,489.0,546.0,440.0,513.0,234.0,455.0,837.0,507.0,364.0,514.0,356.0,334.0,584.0,700.0,636.0,639.0,618.0,636.0,553.0,467.0,454.0,387.0,476.0,430.0,428.0,367.0,383.0,373.0,351.0,295.0,495.0,328.0,445.0,273.0,412.0,560.0
2024-02-14 06:30,869.0,428.0,677.0,629.0,587.0,538.0,492.0,600.0,525.0,513.0,697.0,612.0,528.0,497.0,772.0,562.0,623.0,529.0,499.0,512.0,568.0,294.0,554.0,381.0,334.0,513.0,414.0,602.0,487.0,546.0,444.0,518.0,239.0,472.0,841.0,512.0,363.0,517.0,358.0,337.0,585.0,707.0,631.0,647.0,611.0,639.0,563.0,472.0,451.0,388.0,476.0,434.0,424.0,371.0,385.0,370.0,367.0,293.0,501.0,334.0,469.0,285.0,408.0,560.0
