state,steps,frame,action,reward,config_id,seed,time,area,representation.tilings,environment.zone,representation.tiles,environment.path,representation.which_tc,epsilon,experiment.update_freq,experiment.step_duration,experiment.checkpoint,lambda,alpha,experiment.image_save_keys,representation.wrap_time,environment,algorithm,compatibility_mode,filepath
[0.97795139 0.23049185],1,0,1,0.5714285969734192,-3368738093455022160,0,1743748074.6109178,"[115.625  343.     351.5    705.9375 379.8125 294.1875 140.4375 377.3125
 430.375  551.8125 180.5625 461.125  375.375  431.6875 294.125  350.3125
 383.125  453.125  459.     346.9375 109.1875 491.     513.25   160.25
 371.4375 349.0625 474.625  420.375  212.3125 365.5625 398.75   370.125
 300.625  373.5625 517.625  377.4375]",32,2,4,data/online/E5/P1/ESARSA/z2,RichTileCoder,0.1,1,0.01,0,0.9,0.1,*,1,P2,tc-ESARSA,,
[ 0.98142361 -0.22238758],2,1,0,0.23049184679985046,-3368738093455022160,0,1743748086.1255732,"[205.5    411.375  350.1875 694.5625 363.6875 255.875  147.6875 388.3125
 456.6875 554.8125 176.75   430.75   374.625  472.875  269.5625 356.
 397.5625 475.1875 517.3125 314.5    142.0625 514.625  511.6875 156.
 353.5    345.5    468.0625 324.5625 205.0625 401.875  380.375  346.6875
 267.375  371.25   491.125  381.5   ]",32,2,4,data/online/E5/P1/ESARSA/z2,RichTileCoder,0.1,1,0.01,0,0.9,0.1,*,1,P2,tc-ESARSA,,
[ 0.98489583 -3.78944898],3,2,0,-0.22238758206367493,-3368738093455022160,0,1743748098.5842423,"[105.5    340.9375 323.6875 649.0625 322.625  264.5625 137.0625 335.8125
 364.3125 555.8125 181.4375 470.125  358.5625 430.5    276.125  345.3125
 381.9375 491.125  475.5    287.75    97.875  495.3125 510.25   176.
 335.25   321.0625 472.625  416.5    216.     403.0625 361.6875 329.1875
 271.5625 352.9375 481.4375 354.3125]",32,2,4,data/online/E5/P1/ESARSA/z2,RichTileCoder,0.1,1,0.01,0,0.9,0.1,*,1,P2,tc-ESARSA,,
[ 0.98836806 -2.42626953],4,3,3,-3.7894489765167236,-3368738093455022160,0,1743748110.8592606,"[158.625  336.4375 321.0625 654.8125 343.3125 293.8125 139.5    339.9375
 372.6875 546.0625 193.875  477.9375 367.625  432.375  264.6875 364.875
 397.6875 476.375  493.5625 308.9375 123.4375 496.125  513.875  212.625
 356.1875 329.8125 495.5625 324.375  194.5625 380.75   360.4375 335.875
 271.1875 344.125  461.4375 343.    ]",32,2,4,data/online/E5/P1/ESARSA/z2,RichTileCoder,0.1,1,0.01,0,0.9,0.1,*,1,P2,tc-ESARSA,,
[0.99186343 2.70526743],5,4,3,-2.42626953125,-3368738093455022160,0,1743748123.861234,"[ 79.5625 345.125  344.625  713.3125 370.75   335.9375 143.5625 391.0625
 446.375  582.25   192.375  511.125  391.9375 451.625  288.5    359.625
 402.5625 480.3125 523.5625 320.     115.9375 500.6875 497.3125 143.8125
 395.625  374.375  481.     423.75   227.8125 347.125  409.     501.0625
 302.75   364.875  487.875  373.875 ]",32,2,4,data/online/E5/P1/ESARSA/z2,RichTileCoder,0.1,1,0.01,0,0.9,0.1,*,1,P2,tc-ESARSA,,
[0.99532407 1.86741507],6,5,2,2.7052674293518066,-3368738093455022160,0,1743748136.3476043,"[ 87.75   344.6875 344.8125 701.5625 364.125  335.5625 147.0625 392.9375
 444.4375 576.75   191.625  476.25   387.75   453.25   286.8125 364.1875
 401.6875 474.3125 451.3125 320.875  112.75   497.3125 498.4375 148.1875
 399.125  366.875  471.3125 417.5    219.875  347.0625 413.4375 507.1875
 311.5625 366.     491.125  367.875 ]",32,2,4,data/online/E5/P1/ESARSA/z2,RichTileCoder,0.1,1,0.01,0,0.9,0.1,*,1,P2,tc-ESARSA,,
[0.99877315 0.97537589],7,6,2,1.8674150705337524,-3368738093455022160,0,1743748146.6611235,"[137.3125 346.5625 356.125  699.1875 425.5    302.0625 148.5    389.125
 442.9375 567.3125 190.25   471.75   385.625  443.6875 271.625  355.1875
 396.3125 473.5625 456.625  330.5    115.5    487.125  495.625  154.125
 371.     343.0625 470.6875 417.5625 211.1875 361.75   391.25   376.5
 307.125  375.9375 506.75   376.0625]",32,2,4,data/online/E5/P1/ESARSA/z2,RichTileCoder,0.1,1,0.01,0,0.9,0.1,*,1,P2,tc-ESARSA,,
[0.00225694 0.67700088],8,7,1,0.9753758907318115,-3368738093455022160,0,1743748157.1665006,"[126.5625 342.25   349.25   677.8125 407.375  316.0625 147.0625 382.4375
 354.     571.3125 183.125  468.375  375.4375 433.375  274.25   353.25
 382.0625 468.4375 570.5625 319.9375  96.     488.1875 506.75   154.4375
 377.1875 346.3125 484.9375 418.8125 221.5625 379.1875 393.125  375.75
 299.25   374.5625 515.0625 381.625 ]",32,2,4,data/online/E5/P1/ESARSA/z2,RichTileCoder,0.1,1,0.01,0,0.9,0.1,*,1,P2,tc-ESARSA,,
[0.00572917 0.51319283],9,8,3,0.677000880241394,-3368738093455022160,0,1743748168.1409478,"[156.125  384.75   350.3125 645.8125 419.6875 276.125  143.5    361.4375
 450.25   581.1875 182.8125 408.9375 383.5    445.75   264.5625 349.5625
 381.6875 474.25   594.875  357.25    99.3125 520.875  500.9375 142.75
 359.875  335.375  472.9375 424.0625 209.9375 392.     392.125  350.25
 243.8125 360.9375 500.75   375.125 ]",32,2,4,data/online/E5/P1/ESARSA/z2,RichTileCoder,0.1,1,0.01,0,0.9,0.1,*,1,P2,tc-ESARSA,,
[0.00922454 1.49647129],10,9,3,0.5131928324699402,-3368738093455022160,0,1743748181.7951088,"[ 77.4375 335.4375 341.3125 642.     450.1875 352.6875 147.75   388.625
 435.375  596.     194.75   535.6875 405.875  440.1875 289.5625 363.875
 402.0625 470.375  439.625  308.6875 100.     489.6875 521.125  149.125
 383.5625 364.75   478.75   416.8125 221.5625 355.25   403.8125 501.5
 307.8125 362.9375 480.6875 369.3125]",32,2,4,data/online/E5/P1/ESARSA/z2,RichTileCoder,0.1,1,0.01,0,0.9,0.1,*,1,P2,tc-ESARSA,,
