steps,seed,time,action,state,area,config_id,reward,frame,experiment.update_freq,experiment.checkpoint,compatibility_mode,experiment.step_duration,filepath,environment.zone,environment.path,experiment.image_save_keys,environment,algorithm
1,0,1744385775.804211,[0.26865 0.51435 0.2187  0.      0.2241  0.40905],[1.74421818e+09],"[68.6875 39.8125 53.0625 49.0625 76.1875 53.     69.25   69.5    39.5625
 17.75   87.8125 38.3125 84.375  50.25   89.625  27.0625 83.625  33.875
 15.375  25.1875 36.125  37.125  49.875  54.875  13.125  30.1875 62.625
 41.75   41.375   0.     35.0625 30.5    35.6875 21.3125 29.     39.4375]",2719098993546530408,1.4820028794912048,0,1,0,0,0.01,experiments/online/E6/P3/plant_reaction_test.xlsx,9,/data/plant-rl/online/E6/P3/Spreadsheet-9/z9,*,P3,Spreadsheet9
2,0,1744385784.7380295,[0.26865 0.51435 0.2187  0.      0.2241  0.40905],[1.74421825e+09],"[68.0625 38.875  53.1875 40.9375 75.5625 51.75   69.375  67.0625 40.375
 18.3125 90.3125 40.8125 86.9375 50.5625 91.625  27.5625 83.3125 33.0625
 16.375  23.5625 43.     37.375  46.8125 49.375  14.     27.25   62.5
 41.875  40.8125 25.4375 36.75   31.5    37.8125  0.     29.8125 42.3125]",2719098993546530408,-0.003540897102187213,1,1,0,0,0.01,experiments/online/E6/P3/plant_reaction_test.xlsx,9,/data/plant-rl/online/E6/P3/Spreadsheet-9/z9,*,P3,Spreadsheet9
3,0,1744385793.5967386,[0.26865 0.51435 0.2187  0.      0.2241  0.40905],[1.74421832e+09],"[67.125  38.6875 51.875  49.375  75.5625 55.5    68.8125 67.4375 39.
 18.9375 89.4375 40.625  83.75   52.375  91.0625 28.3125 84.6875 35.625
 24.5625 27.75   42.25   37.25   51.125  51.0625 12.6875 26.1875 63.5625
 42.3125 46.5    25.1875 35.1875 48.4375 36.6875 24.375  29.875  41.4375]",2719098993546530408,0.03328678647638873,2,1,0,0,0.01,experiments/online/E6/P3/plant_reaction_test.xlsx,9,/data/plant-rl/online/E6/P3/Spreadsheet-9/z9,*,P3,Spreadsheet9
4,0,1744385801.9719012,[0.26865 0.51435 0.2187  0.      0.2241  0.40905],[1.74421839e+09],"[69.1875 40.125  54.6875 40.9375 76.875  53.25   70.25   67.6875 37.375
 17.9375 89.5    41.5    85.1875 51.5    89.125  27.4375 82.125  33.3125
 15.5    21.     16.625  36.4375 48.875  51.6875 13.625  25.4375 63.5
 42.5625 41.75   25.3125 33.875  50.625  36.3125  0.     30.3125 41.0625]",2719098993546530408,-0.035365979657396705,3,1,0,0,0.01,experiments/online/E6/P3/plant_reaction_test.xlsx,9,/data/plant-rl/online/E6/P3/Spreadsheet-9/z9,*,P3,Spreadsheet9
5,0,1744385810.1296728,[0.26865 0.51435 0.2187  0.      0.2241  0.40905],[1.74421845e+09],"[68.25   39.375  53.9375 42.75   75.1875 55.875  68.375  66.3125 39.6875
 18.1875 87.1875 38.9375 85.6875 50.375  90.     27.875  83.1875 35.625
 17.1875 24.     16.     36.125  48.0625 50.6875 13.375  27.875  60.625
 41.625  38.5     0.     36.6875 51.375  37.3125  0.     29.75   41.5625]",2719098993546530408,-0.007083355994527871,4,1,0,0,0.01,experiments/online/E6/P3/plant_reaction_test.xlsx,9,/data/plant-rl/online/E6/P3/Spreadsheet-9/z9,*,P3,Spreadsheet9
6,0,1744385818.1111646,[0.26865 0.51435 0.2187  0.      0.2241  0.40905],[1.74421853e+09],"[69.0625 40.     52.375  51.625  74.125  56.875  70.     66.6875 39.375
 18.5    88.4375 40.625  84.5    53.1875 89.625  28.6875 83.375  32.75
 15.8125 24.25   41.0625 37.125  47.0625 51.25   14.0625 27.625  62.8125
 41.6875 40.1875  0.     34.625  48.5    38.5625  0.     35.125  40.875 ]",2719098993546530408,0.03418114640855798,5,1,0,0,0.01,experiments/online/E6/P3/plant_reaction_test.xlsx,9,/data/plant-rl/online/E6/P3/Spreadsheet-9/z9,*,P3,Spreadsheet9
7,0,1744385826.4827254,[0.26865 0.51435 0.2187  0.      0.2241  0.40905],[1.74421861e+09],"[67.5625 39.8125 53.375  42.375  75.0625 58.5625 70.5625 68.625  37.1875
 17.1875 88.1875 43.5625 86.8125 52.1875 88.125  27.     83.5    33.1875
 17.0625 26.3125 36.1875 37.4375 49.4375 52.125  13.375  24.25   65.375
 41.     42.      0.     34.625  49.6875 36.6875  0.     32.875  40.4375]",2719098993546530408,-0.007889081070190759,6,1,0,0,0.01,experiments/online/E6/P3/plant_reaction_test.xlsx,9,/data/plant-rl/online/E6/P3/Spreadsheet-9/z9,*,P3,Spreadsheet9
8,0,1744385834.670601,[0.26865 0.51435 0.2187  0.      0.2241  0.40905],[1.74421869e+09],"[68.25   38.625  50.9375 43.25   76.9375 56.0625 70.4375 66.5625 41.125
 17.5625 88.4375 42.5    86.25   54.5625 89.125  29.0625 83.3125 32.375
 19.     22.875  43.     37.6875 48.4375 54.0625 12.625  30.0625 63.3125
 43.     45.875  24.9375 36.3125 49.1875 38.3125  0.     31.1875 40.9375]",2719098993546530408,0.019875260537616388,7,1,0,0,0.01,experiments/online/E6/P3/plant_reaction_test.xlsx,9,/data/plant-rl/online/E6/P3/Spreadsheet-9/z9,*,P3,Spreadsheet9
9,0,1744385842.713665,[0.26865 0.51435 0.2187  0.      0.2241  0.40905],[1.74421877e+09],"[68.5    39.25   53.3125 42.     76.3125 55.5625 71.625  68.75   41.1875
 17.1875 88.8125 41.75   84.6875 51.75   87.6875 27.1875 82.4375 33.1875
 25.4375 23.4375 41.8125 38.25   49.1875 50.375  13.125  28.8125 63.0625
 41.     40.1875 23.6875 33.75   47.75   38.375   0.     30.6875 39.75  ]",2719098993546530408,-0.013668345457999645,8,1,0,0,0.01,experiments/online/E6/P3/plant_reaction_test.xlsx,9,/data/plant-rl/online/E6/P3/Spreadsheet-9/z9,*,P3,Spreadsheet9
10,0,1744385850.633738,[0.26865 0.51435 0.2187  0.      0.2241  0.40905],[1.74421884e+09],"[67.875  39.4375 52.9375 44.6875 74.6875 55.0625 76.25   67.1875 38.6875
 16.75   88.3125 43.4375 85.5    54.0625 88.0625 27.0625 84.9375 32.5625
 22.4375 21.625  44.125  38.25   50.625  53.8125 13.125  29.5    61.8125
 42.1875 42.625   0.     35.6875 49.3125 36.8125  0.     29.4375 39.3125]",2719098993546530408,0.007103429674035607,9,1,0,0,0.01,experiments/online/E6/P3/plant_reaction_test.xlsx,9,/data/plant-rl/online/E6/P3/Spreadsheet-9/z9,*,P3,Spreadsheet9
