area,state,seed,action,time,frame,steps,config_id,reward,experiment.step_duration,compatibility_mode,filepath,experiment.update_freq,environment.zone,environment,algorithm,seed_offline,time_offline,action_offline,config_id_offline,frame_offline,experiment.update_freq_offline,experiment.checkpoint,compatibility_mode_offline,experiment.step_duration_offline,filepath_offline,environment.path,experiment.image_save_keys,environment_offline,algorithm_offline
"[41.125  11.5    20.3125 43.75   64.0625 42.6875 47.375  55.25   41.1875
 50.5625 44.25   56.75   38.8125 36.375  54.     56.     25.875  69.0625
 29.4375 12.75   43.8125 54.125  27.4375 38.1875 30.5625 12.8125 14.4375
 23.75   35.4375 12.9375 32.1875 33.0625 37.25   19.125  18.625  39.0625]",[1.74421811e+09],0,[0.26865 0.51435 0.2187  0.      0.2241  0.40905],1744239714.03998,0,1,-8144594618283321666,0.0617681947318483,60,0,experiments/online/E6/P3/plant_reaction_test.xlsx,1,2,P3,Spreadsheet2,0.0,1744385171.491255,[0.26865 0.51435 0.2187  0.      0.2241  0.40905],1.1997813580787543e+18,0.0,1.0,0.0,0.0,0.01,experiments/online/E6/P3/plant_reaction_test.xlsx,/data/plant-rl/online/E6/P3/Spreadsheet-2/z2,*,P3,Spreadsheet2
"[40.9375 12.9375 19.1875 44.4375 62.6875 41.9375 46.6875 55.5625 40.75
 52.375  46.0625 58.125  37.6875 37.875  54.875  65.5    17.3125 66.
 29.9375  9.9375 42.9375 55.25   28.75   46.3125 29.0625 12.4375 15.5625
 25.125  36.4375  0.     32.8125 32.4375 37.5625 21.9375 17.1875 29.625 ]",[1.74421817e+09],0,[0.26865 0.51435 0.2187  0.      0.2241  0.40905],1744239773.5730402,1,2,-8144594618283321666,-0.0014129633772869,60,0,experiments/online/E6/P3/plant_reaction_test.xlsx,1,2,P3,Spreadsheet2,0.0,1744385173.7242498,[0.26865 0.51435 0.2187  0.      0.2241  0.40905],1.1997813580787543e+18,1.0,1.0,0.0,0.0,0.01,experiments/online/E6/P3/plant_reaction_test.xlsx,/data/plant-rl/online/E6/P3/Spreadsheet-2/z2,*,P3,Spreadsheet2
"[40.75   12.125  20.375  42.375  63.125  41.625  45.9375 54.0625 40.9375
 51.625  48.375  57.375  40.1875 40.6875 55.4375 65.1875 19.5625 66.25
 31.6875  9.875  48.     56.25   24.     32.8125 29.5    10.125  15.875
 23.875  47.75    0.     30.5    32.75   37.4375 19.6875 18.     34.1875]",[1.74421823e+09],0,[0.26865 0.51435 0.2187  0.      0.2241  0.40905],1744239833.7695854,2,3,-8144594618283321666,0.0074723445375934,60,0,experiments/online/E6/P3/plant_reaction_test.xlsx,1,2,P3,Spreadsheet2,0.0,1744385176.284103,[0.26865 0.51435 0.2187  0.      0.2241  0.40905],1.1997813580787543e+18,2.0,1.0,0.0,0.0,0.01,experiments/online/E6/P3/plant_reaction_test.xlsx,/data/plant-rl/online/E6/P3/Spreadsheet-2/z2,*,P3,Spreadsheet2
"[41.5625 12.     19.625  43.75   59.9375 39.875  47.25   57.25   41.1875
 50.625  45.375  60.4375 34.25   34.3125 56.1875 63.4375 24.375  64.625
 28.9375 12.0625 42.625  57.1875 38.4375 33.375  30.3125 10.1875 13.875
 23.8125 33.75   10.5    32.4375 30.8125 36.125  17.6875 17.3125 36.875 ]",[1.74421829e+09],0,[0.26865 0.51435 0.2187  0.      0.2241  0.40905],1744239893.8751104,3,4,-8144594618283321666,-0.0148148739569601,60,0,experiments/online/E6/P3/plant_reaction_test.xlsx,1,2,P3,Spreadsheet2,0.0,1744385179.114555,[0.26865 0.51435 0.2187  0.      0.2241  0.40905],1.1997813580787543e+18,3.0,1.0,0.0,0.0,0.01,experiments/online/E6/P3/plant_reaction_test.xlsx,/data/plant-rl/online/E6/P3/Spreadsheet-2/z2,*,P3,Spreadsheet2
"[40.875  12.4375 19.125  43.1875 64.5    37.6875 47.4375 57.     40.5
 50.6875 44.5    60.0625 35.4375 34.5625 53.9375 63.3125 24.0625 64.0625
 31.6875 10.6875 42.5625 55.9375 26.5625 36.     29.625  11.5625 12.375
 24.1875 46.875  27.     29.5625 33.3125 37.     19.4375 18.75   15.125 ]",[1.74421836e+09],0,[0.26865 0.51435 0.2187  0.      0.2241  0.40905],1744239954.5380044,4,5,-8144594618283321666,-0.0065239676171654,60,0,experiments/online/E6/P3/plant_reaction_test.xlsx,1,2,P3,Spreadsheet2,0.0,1744385182.6779354,[0.26865 0.51435 0.2187  0.      0.2241  0.40905],1.1997813580787543e+18,4.0,1.0,0.0,0.0,0.01,experiments/online/E6/P3/plant_reaction_test.xlsx,/data/plant-rl/online/E6/P3/Spreadsheet-2/z2,*,P3,Spreadsheet2
"[42.3125 12.125  18.5    44.1875 59.25   39.     47.4375 56.875  43.375
 50.125  43.125  57.1875 35.0625 35.125  55.5625 61.3125 26.25   68.375
 29.6875 11.0625 45.     55.625  28.3125 34.125  29.3125 14.5625 12.1875
 24.25   34.75   15.4375 29.25   33.5625 37.1875 22.6875 18.9375 18.125 ]",[1.74421841e+09],0,[0.26865 0.51435 0.2187  0.      0.2241  0.40905],1744240013.959098,5,6,-8144594618283321666,-0.0094572394827867,60,0,experiments/online/E6/P3/plant_reaction_test.xlsx,1,2,P3,Spreadsheet2,0.0,1744385185.396642,[0.26865 0.51435 0.2187  0.      0.2241  0.40905],1.1997813580787543e+18,5.0,1.0,0.0,0.0,0.01,experiments/online/E6/P3/plant_reaction_test.xlsx,/data/plant-rl/online/E6/P3/Spreadsheet-2/z2,*,P3,Spreadsheet2
"[42.25   12.9375 17.8125 42.9375 62.375  36.8125 48.4375 57.4375 40.
 48.375  41.875  58.6875 37.3125 36.3125 56.0625 61.75   20.125  69.625
 30.6875 11.6875 45.875  54.6875 27.125  35.     32.375  11.375  15.3125
 24.4375 35.25   28.3125 30.3125 34.8125 36.625  22.     17.5    13.5625]",[1.74421847e+09],0,[0.26865 0.51435 0.2187  0.      0.2241  0.40905],1744240074.2171257,6,7,-8144594618283321666,0.0028904750920428,60,0,experiments/online/E6/P3/plant_reaction_test.xlsx,1,2,P3,Spreadsheet2,0.0,1744385187.860966,[0.26865 0.51435 0.2187  0.      0.2241  0.40905],1.1997813580787543e+18,6.0,1.0,0.0,0.0,0.01,experiments/online/E6/P3/plant_reaction_test.xlsx,/data/plant-rl/online/E6/P3/Spreadsheet-2/z2,*,P3,Spreadsheet2
"[41.625  12.9375 21.5625 42.875  62.25   39.125  50.     58.875  41.1875
 48.875  42.875  59.8125 35.5625 37.     55.625  63.4375 20.8125 66.25
 31.75   12.0625 47.375  54.3125 24.875  37.8125 29.6875 11.3125 15.5
 24.375  45.625  14.1875 32.375  32.125  35.5    21.1875 19.0625 21.3125]",[1.74421854e+09],0,[0.26865 0.51435 0.2187  0.      0.2241  0.40905],1744240140.635597,7,8,-8144594618283321666,0.0127809164000379,60,0,experiments/online/E6/P3/plant_reaction_test.xlsx,1,2,P3,Spreadsheet2,0.0,1744385190.391483,[0.26865 0.51435 0.2187  0.      0.2241  0.40905],1.1997813580787543e+18,7.0,1.0,0.0,0.0,0.01,experiments/online/E6/P3/plant_reaction_test.xlsx,/data/plant-rl/online/E6/P3/Spreadsheet-2/z2,*,P3,Spreadsheet2
"[41.1875 13.5    19.1875 43.25   61.625  38.6875 52.5625 58.1875 43.5
 49.3125 44.125  56.     41.125  38.25   54.4375 60.3125 19.75   66.5625
 30.25   12.375  46.3125 54.3125 27.375  34.625  28.3125 12.4375 19.625
 23.125  31.4375 12.3125 31.5    36.3125 35.125  21.0625 19.25   12.875 ]",[1.74421861e+09],0,[0.26865 0.51435 0.2187  0.      0.2241  0.40905],1744240213.65759,8,9,-8144594618283321666,-0.015356748485222,60,0,experiments/online/E6/P3/plant_reaction_test.xlsx,1,2,P3,Spreadsheet2,0.0,1744385192.4287052,[0.26865 0.51435 0.2187  0.      0.2241  0.40905],1.1997813580787543e+18,8.0,1.0,0.0,0.0,0.01,experiments/online/E6/P3/plant_reaction_test.xlsx,/data/plant-rl/online/E6/P3/Spreadsheet-2/z2,*,P3,Spreadsheet2
"[41.5625 13.     20.875  43.125  57.6875 40.     49.0625 58.375  41.8125
 47.9375 42.5625 56.875  38.75   40.5625 55.4375 65.75   21.0625 65.875
 30.5625 11.75   42.8125 54.5    28.     45.75   29.0625  9.5    14.3125
 23.625  44.4375 27.5625 29.375  34.0625 35.875  20.     17.875  42.375 ]",[1.74421868e+09],0,[0.26865 0.51435 0.2187  0.      0.2241  0.40905],1744240277.2245011,9,10,-8144594618283321666,0.0510054086232152,60,0,experiments/online/E6/P3/plant_reaction_test.xlsx,1,2,P3,Spreadsheet2,0.0,1744385195.1993878,[0.26865 0.51435 0.2187  0.      0.2241  0.40905],1.1997813580787543e+18,9.0,1.0,0.0,0.0,0.01,experiments/online/E6/P3/plant_reaction_test.xlsx,/data/plant-rl/online/E6/P3/Spreadsheet-2/z2,*,P3,Spreadsheet2
