frame,state,config_id,reward,steps,time,action,seed,experiment.step_duration,compatibility_mode,experiment.update_freq,environment.zone,filepath,environment,algorithm,lambda,representation.which_tc,epsilon,representation.tilings,representation.tiles,representation.wrap_time,alpha
0,"b'\x19\xe4\xa0,p\xfb\xd9A'",1014385149505994137,0.014446220753222347,1,1743634628.715894,"b""\xaf\x06(\r5\n\xe5?\xed\xb7v\xa2$$\xf4?&\xfb\xe7i\xc0 \xe1?\x00\x00\x00\x00\x00\x00\x00\x00'\x11\xe1_\x04\x8d\xe1?d!:\x04\x8e\x04\xf0?""",0,300,0,1,6,experiments/online/E5/P1/poisson_slow.xlsx,P1,Poisson-slow,,,,,,,
0,"b'\x19\xe4\xa0,p\xfb\xd9A'",1014385149505994137,0.014446220753222347,1,1743634628.715894,"b""\xaf\x06(\r5\n\xe5?\xed\xb7v\xa2$$\xf4?&\xfb\xe7i\xc0 \xe1?\x00\x00\x00\x00\x00\x00\x00\x00'\x11\xe1_\x04\x8d\xe1?d!:\x04\x8e\x04\xf0?""",0,300,0,1,6,experiments/online/E5/P1/poisson_slow.xlsx,P1,Poisson-slow,,,,,,,
1,b'\\\xe3\xa0wp\xfb\xd9A',1014385149505994137,-0.028146701912459982,2,1743634928.57711,"b""\xaf\x06(\r5\n\xe5?\xed\xb7v\xa2$$\xf4?&\xfb\xe7i\xc0 \xe1?\x00\x00\x00\x00\x00\x00\x00\x00'\x11\xe1_\x04\x8d\xe1?d!:\x04\x8e\x04\xf0?""",0,300,0,1,6,experiments/online/E5/P1/poisson_slow.xlsx,P1,Poisson-slow,,,,,,,
0,"b'\x19\xe4\xa0,p\xfb\xd9A'",1014385149505994137,0.014446220753222347,1,1743634628.715894,"b""\xaf\x06(\r5\n\xe5?\xed\xb7v\xa2$$\xf4?&\xfb\xe7i\xc0 \xe1?\x00\x00\x00\x00\x00\x00\x00\x00'\x11\xe1_\x04\x8d\xe1?d!:\x04\x8e\x04\xf0?""",0,300,0,1,6,experiments/online/E5/P1/poisson_slow.xlsx,P1,Poisson-slow,,,,,,,
1,b'\\\xe3\xa0wp\xfb\xd9A',1014385149505994137,-0.028146701912459982,2,1743634928.57711,"b""\xaf\x06(\r5\n\xe5?\xed\xb7v\xa2$$\xf4?&\xfb\xe7i\xc0 \xe1?\x00\x00\x00\x00\x00\x00\x00\x00'\x11\xe1_\x04\x8d\xe1?d!:\x04\x8e\x04\xf0?""",0,300,0,1,6,experiments/online/E5/P1/poisson_slow.xlsx,P1,Poisson-slow,,,,,,,
2,b'\xf3\xe3\xa0\xc2p\xfb\xd9A',1014385149505994137,0.021255827074144498,3,1743635228.5572927,"b""\xaf\x06(\r5\n\xe5?\xed\xb7v\xa2$$\xf4?&\xfb\xe7i\xc0 \xe1?\x00\x00\x00\x00\x00\x00\x00\x00'\x11\xe1_\x04\x8d\xe1?d!:\x04\x8e\x04\xf0?""",0,300,0,1,6,experiments/online/E5/P1/poisson_slow.xlsx,P1,Poisson-slow,,,,,,,
0,"b'\x19\xe4\xa0,p\xfb\xd9A'",1014385149505994137,0.014446220753222347,1,1743634628.715894,"b""\xaf\x06(\r5\n\xe5?\xed\xb7v\xa2$$\xf4?&\xfb\xe7i\xc0 \xe1?\x00\x00\x00\x00\x00\x00\x00\x00'\x11\xe1_\x04\x8d\xe1?d!:\x04\x8e\x04\xf0?""",0,300,0,1,6,experiments/online/E5/P1/poisson_slow.xlsx,P1,Poisson-slow,,,,,,,
1,b'\\\xe3\xa0wp\xfb\xd9A',1014385149505994137,-0.028146701912459982,2,1743634928.57711,"b""\xaf\x06(\r5\n\xe5?\xed\xb7v\xa2$$\xf4?&\xfb\xe7i\xc0 \xe1?\x00\x00\x00\x00\x00\x00\x00\x00'\x11\xe1_\x04\x8d\xe1?d!:\x04\x8e\x04\xf0?""",0,300,0,1,6,experiments/online/E5/P1/poisson_slow.xlsx,P1,Poisson-slow,,,,,,,
2,b'\xf3\xe3\xa0\xc2p\xfb\xd9A',1014385149505994137,0.021255827074144498,3,1743635228.5572927,"b""\xaf\x06(\r5\n\xe5?\xed\xb7v\xa2$$\xf4?&\xfb\xe7i\xc0 \xe1?\x00\x00\x00\x00\x00\x00\x00\x00'\x11\xe1_\x04\x8d\xe1?d!:\x04\x8e\x04\xf0?""",0,300,0,1,6,experiments/online/E5/P1/poisson_slow.xlsx,P1,Poisson-slow,,,,,,,
3,b'\x86\xe3\xa0\rq\xfb\xd9A',1014385149505994137,0.004883268157502251,4,1743635528.6064894,b'1\x99*\x18\x95\xd4\xc1?\xfd\xf6u\xe0\x9c\x11\xd1?d\xcc]K\xc8\x07\xbd?\x00\x00\x00\x00\x00\x00\x00\x00:\x92\xcb\x7fH\xbf\xbd?\x12\xa5\xbd\xc1\x17&\xcb?',0,300,0,1,6,experiments/online/E5/P1/poisson_slow.xlsx,P1,Poisson-slow,,,,,,,
0,"b'\x19\xe4\xa0,p\xfb\xd9A'",1014385149505994137,0.014446220753222347,1,1743634628.715894,"b""\xaf\x06(\r5\n\xe5?\xed\xb7v\xa2$$\xf4?&\xfb\xe7i\xc0 \xe1?\x00\x00\x00\x00\x00\x00\x00\x00'\x11\xe1_\x04\x8d\xe1?d!:\x04\x8e\x04\xf0?""",0,300,0,1,6,experiments/online/E5/P1/poisson_slow.xlsx,P1,Poisson-slow,,,,,,,
