action,reward,steps,area,config_id,seed,frame,state,time,representation.which_tc,environment.zone,alpha,lambda,experiment.update_freq,representation.wrap_time,epsilon,experiment.step_duration,representation.tilings,representation.tiles,environment,algorithm
1,2.866776943206787,1,b'\x00\x00\xdbB\x000\xa8C\x00\x90\xaaC\x00\x18\x12D\x00\x18\xbcC\x00\xe8\x87C\x00 #C\x00h\xafC\x00\xc0\xb6C\x00\x94-D\x00\xf0BC\x00\x90\xf2C\x000\xa9C\x00X\xa4C\x00(\x97C\x00x\xb6C\x00\x90\xc8C\x00\xf8\x06D\x00x\xe5C\x00H\x8dC\x00 \x9eB\x00\xb8\xf5C\x00\xc0\xf3C\x00\x80\x07C\x00\x08\x85C\x00p\x8aC\x00\xd8\xcaC\x00P\xd8C\x00x\x87C\x00 \xcfC\x00@\xc5C\x000\xb9C\x00\x88\xd1C\x00\x10\xc1C\x00d\x0eD\x00@\xc9C',-4479653847284500796,0,0,b'\xaeR\xa29\x99?\xe6?\x00\x00\x00\xc0(\xef\x06@',1743698480.8025963,RichTileCoder,2,0.1,0.9,1,1,0.05,300,32,4,P2,tc-ESARSA
1,2.866776943206787,1,b'\x00\x00\xdbB\x000\xa8C\x00\x90\xaaC\x00\x18\x12D\x00\x18\xbcC\x00\xe8\x87C\x00 #C\x00h\xafC\x00\xc0\xb6C\x00\x94-D\x00\xf0BC\x00\x90\xf2C\x000\xa9C\x00X\xa4C\x00(\x97C\x00x\xb6C\x00\x90\xc8C\x00\xf8\x06D\x00x\xe5C\x00H\x8dC\x00 \x9eB\x00\xb8\xf5C\x00\xc0\xf3C\x00\x80\x07C\x00\x08\x85C\x00p\x8aC\x00\xd8\xcaC\x00P\xd8C\x00x\x87C\x00 \xcfC\x00@\xc5C\x000\xb9C\x00\x88\xd1C\x00\x10\xc1C\x00d\x0eD\x00@\xc9C',-4479653847284500796,0,0,b'\xaeR\xa29\x99?\xe6?\x00\x00\x00\xc0(\xef\x06@',1743698480.8025963,RichTileCoder,2,0.1,0.9,1,1,0.05,300,32,4,P2,tc-ESARSA
2,0.405754417181015,2,b'\x00p\x19C\x00\xc0\xb3C\x00\x88\xafC\x00t\x12D\x00`\xb3C\x00\x80\x81C\x00\x10#C\x00\x80\xb2C\x00\xa0\xf3C\x00P)D\x000?C\x00\x18\xd8C\x00\xa0\xabC\x00\xe0\xa2C\x00(\x95C\x00\xa8\xb0C\x00p\xcdC\x00D\x08D\x00P\xe0C\x00\xb0\x87C\x00@\xd3B\x00\x08\xf6C\x00\xd8\xefC\x00`2C\x00@\x84C\x00\xb0\x97C\x00\x90\xf7C\x00p\xd7C\x008\x87C\x00H\xcbC\x00\xe0\xbcC\x00\xf0\xb1C\x000nC\x00\x18\xbaC\x00\xf8\xf7C\x00\x08\xc3C',-4479653847284500796,0,1,b'\x06[\xb0\x00\x0b\\\xe6?\x00\x00\x00`\xe1\xf7\xd9?',1743698781.6922178,RichTileCoder,2,0.1,0.9,1,1,0.05,300,32,4,P2,tc-ESARSA
1,2.866776943206787,1,b'\x00\x00\xdbB\x000\xa8C\x00\x90\xaaC\x00\x18\x12D\x00\x18\xbcC\x00\xe8\x87C\x00 #C\x00h\xafC\x00\xc0\xb6C\x00\x94-D\x00\xf0BC\x00\x90\xf2C\x000\xa9C\x00X\xa4C\x00(\x97C\x00x\xb6C\x00\x90\xc8C\x00\xf8\x06D\x00x\xe5C\x00H\x8dC\x00 \x9eB\x00\xb8\xf5C\x00\xc0\xf3C\x00\x80\x07C\x00\x08\x85C\x00p\x8aC\x00\xd8\xcaC\x00P\xd8C\x00x\x87C\x00 \xcfC\x00@\xc5C\x000\xb9C\x00\x88\xd1C\x00\x10\xc1C\x00d\x0eD\x00@\xc9C',-4479653847284500796,0,0,b'\xaeR\xa29\x99?\xe6?\x00\x00\x00\xc0(\xef\x06@',1743698480.8025963,RichTileCoder,2,0.1,0.9,1,1,0.05,300,32,4,P2,tc-ESARSA
2,0.405754417181015,2,b'\x00p\x19C\x00\xc0\xb3C\x00\x88\xafC\x00t\x12D\x00`\xb3C\x00\x80\x81C\x00\x10#C\x00\x80\xb2C\x00\xa0\xf3C\x00P)D\x000?C\x00\x18\xd8C\x00\xa0\xabC\x00\xe0\xa2C\x00(\x95C\x00\xa8\xb0C\x00p\xcdC\x00D\x08D\x00P\xe0C\x00\xb0\x87C\x00@\xd3B\x00\x08\xf6C\x00\xd8\xefC\x00`2C\x00@\x84C\x00\xb0\x97C\x00\x90\xf7C\x00p\xd7C\x008\x87C\x00H\xcbC\x00\xe0\xbcC\x00\xf0\xb1C\x000nC\x00\x18\xbaC\x00\xf8\xf7C\x00\x08\xc3C',-4479653847284500796,0,1,b'\x06[\xb0\x00\x0b\\\xe6?\x00\x00\x00`\xe1\xf7\xd9?',1743698781.6922178,RichTileCoder,2,0.1,0.9,1,1,0.05,300,32,4,P2,tc-ESARSA
0,0.9342702031135559,3,b'\x00@\xd5B\x00X\xa7C\x00\x88\xacC\x00\xf0\x0fD\x00h\xbcC\x00@\x9dC\x00\xb0&C\x00\xc0\xacC\x00\xf8\xafC\x00p*D\x00`GC\x00\x88\xe0C\x00\x00\xa8C\x00P\xa4C\x00 \x98C\x00\xe0\xb5C\x00\xd8\xd0C\x00x\x06D\x00\xc8\xe6C\x00\xc0\x8fC\x00\xe0\xb0B\x00 \xf4C\x00\xe0\xf5C\x00\xc0\x12C\x00\x08\x8cC\x00\x90\x91C\x00(\xceC\x00\x00\xadC\x00\x10|C\x00\xe8\xc5C\x00\x98\xc6C\x008\xbcC\x00(\xdaC\x00\x88\xc2C\x00\xb4\x0bD\x00\xa8\xc8C',-4479653847284500796,0,2,b'\x14\xc4\xc9\xc7|x\xe6?\x00\x00\x00\xa0\x8a\xe5\xed?',1743699081.122948,RichTileCoder,2,0.1,0.9,1,1,0.05,300,32,4,P2,tc-ESARSA
1,2.866776943206787,1,b'\x00\x00\xdbB\x000\xa8C\x00\x90\xaaC\x00\x18\x12D\x00\x18\xbcC\x00\xe8\x87C\x00 #C\x00h\xafC\x00\xc0\xb6C\x00\x94-D\x00\xf0BC\x00\x90\xf2C\x000\xa9C\x00X\xa4C\x00(\x97C\x00x\xb6C\x00\x90\xc8C\x00\xf8\x06D\x00x\xe5C\x00H\x8dC\x00 \x9eB\x00\xb8\xf5C\x00\xc0\xf3C\x00\x80\x07C\x00\x08\x85C\x00p\x8aC\x00\xd8\xcaC\x00P\xd8C\x00x\x87C\x00 \xcfC\x00@\xc5C\x000\xb9C\x00\x88\xd1C\x00\x10\xc1C\x00d\x0eD\x00@\xc9C',-4479653847284500796,0,0,b'\xaeR\xa29\x99?\xe6?\x00\x00\x00\xc0(\xef\x06@',1743698480.8025963,RichTileCoder,2,0.1,0.9,1,1,0.05,300,32,4,P2,tc-ESARSA
2,0.405754417181015,2,b'\x00p\x19C\x00\xc0\xb3C\x00\x88\xafC\x00t\x12D\x00`\xb3C\x00\x80\x81C\x00\x10#C\x00\x80\xb2C\x00\xa0\xf3C\x00P)D\x000?C\x00\x18\xd8C\x00\xa0\xabC\x00\xe0\xa2C\x00(\x95C\x00\xa8\xb0C\x00p\xcdC\x00D\x08D\x00P\xe0C\x00\xb0\x87C\x00@\xd3B\x00\x08\xf6C\x00\xd8\xefC\x00`2C\x00@\x84C\x00\xb0\x97C\x00\x90\xf7C\x00p\xd7C\x008\x87C\x00H\xcbC\x00\xe0\xbcC\x00\xf0\xb1C\x000nC\x00\x18\xbaC\x00\xf8\xf7C\x00\x08\xc3C',-4479653847284500796,0,1,b'\x06[\xb0\x00\x0b\\\xe6?\x00\x00\x00`\xe1\xf7\xd9?',1743698781.6922178,RichTileCoder,2,0.1,0.9,1,1,0.05,300,32,4,P2,tc-ESARSA
0,0.9342702031135559,3,b'\x00@\xd5B\x00X\xa7C\x00\x88\xacC\x00\xf0\x0fD\x00h\xbcC\x00@\x9dC\x00\xb0&C\x00\xc0\xacC\x00\xf8\xafC\x00p*D\x00`GC\x00\x88\xe0C\x00\x00\xa8C\x00P\xa4C\x00 \x98C\x00\xe0\xb5C\x00\xd8\xd0C\x00x\x06D\x00\xc8\xe6C\x00\xc0\x8fC\x00\xe0\xb0B\x00 \xf4C\x00\xe0\xf5C\x00\xc0\x12C\x00\x08\x8cC\x00\x90\x91C\x00(\xceC\x00\x00\xadC\x00\x10|C\x00\xe8\xc5C\x00\x98\xc6C\x008\xbcC\x00(\xdaC\x00\x88\xc2C\x00\xb4\x0bD\x00\xa8\xc8C',-4479653847284500796,0,2,b'\x14\xc4\xc9\xc7|x\xe6?\x00\x00\x00\xa0\x8a\xe5\xed?',1743699081.122948,RichTileCoder,2,0.1,0.9,1,1,0.05,300,32,4,P2,tc-ESARSA
3,-3.7736549377441406,4,b'\x00\x00\x89B\x00\xa0dC\x00(\x99C\x00l\tD\x000\xb8C\x00@\x83C\x00\xf0+C\x00\xe0\x9bC\x00\xa0\xbeC\x00\xf4\x02D\x00\x00?C\x00X\xbeC\x00\x98\x9fC\x00 \xa5C\x00\x90\x91C\x00\x08\xb4C\x000\xdcC\x00\xb0\tD\x000\xcfC\x00poC\x00 \xb9B\x008\xebC\x000\xc6C\x00\x18\x96C\x00\xe0\x7fC\x00H\x96C\x00\xf8\xf2C\x00\xc0\xccC\x00\xa0sC\x00\x90\xcdC\x00`\xaeC\x00\xb0\xaeC\x00\xe0\x89C\x00\xb8\xa3C\x00X\xdeC\x00(\xbdC',-4479653847284500796,0,3,b'\xdb5\xe6\x8e\xee\x94\xe6?\x00\x00\x00\x00r0\x0e\xc0',1743699380.4717712,RichTileCoder,2,0.1,0.9,1,1,0.05,300,32,4,P2,tc-ESARSA
