steps,frame,state,reward,area,time,config_id,seed,action,experiment.step_duration,experiment.update_freq,filepath,environment.zone,compatibility_mode,environment,algorithm
1,0,[1.74416103e+09],-0.20249942249057054,"[131.6875 220.0625 152.75   165.     144.     226.375  171.875  110.
 138.75   129.3125 119.6875 203.9375 243.1875 215.25   130.8125 115.0625
 115.4375 158.6875 318.3125 153.25   124.875  591.375  117.9375 589.125
 195.8125 138.1875 110.75   153.1875 166.5625 220.6875 217.375  141.1875
 121.1875 158.4375 398.4375 149.375 ]",1744161054.8931015,-8163832926060245032,0,[0.657496 1.258824 0.535248 0.       0.548464 1.001112],300,1,experiments/online/E6/P1/poisson1.xlsx,1,0,P1,Poisson1
2,1,[1.74416133e+09],0.05938850882979723,"[119.625  223.125  159.75   178.125  170.     225.5625 389.8125 109.125
 126.     135.4375 154.125  232.6875 240.5    203.8125 149.625  127.125
 146.75   171.0625 295.25   142.5625 120.875  609.8125 239.9375 522.5625
 201.1875 131.0625 139.125  146.375  155.75   339.25   175.375  138.5
 129.875  136.6875 189.6875 152.5   ]",1744161353.4448588,-8163832926060245032,0,[0.657496 1.258824 0.535248 0.       0.548464 1.001112],300,1,experiments/online/E6/P1/poisson1.xlsx,1,0,P1,Poisson1
3,2,[1.74416163e+09],-0.021894247940962862,"[144.125  232.9375 168.5    198.8125 157.1875 203.1875 246.75   124.3125
 131.625  125.375  148.1875 222.125  253.875  203.25   124.5625 107.4375
 134.75   174.75   320.125  421.1875 131.1875 135.75   166.6875 989.
 213.1875 134.25   131.3125 149.3125 194.125  337.625  188.625  141.5625
 124.5    144.3125 161.5625 148.3125]",1744161651.1554008,-8163832926060245032,0,[0.657496 1.258824 0.535248 0.       0.548464 1.001112],300,1,experiments/online/E6/P1/poisson1.xlsx,1,0,P1,Poisson1
4,3,[1.74416193e+09],0.02777900295865776,"[136.25   254.6875 179.4375 182.3125 181.     210.8125 356.1875 149.3125
 146.25   146.     147.625  207.75   269.5625 209.3125 154.3125 113.375
 139.5625 152.8125 238.3125 179.4375  94.375  703.25    85.75   739.5625
 203.5    130.625  109.3125 150.875  162.75   312.1875 194.4375 166.5625
 134.125  142.5625 164.875  185.375 ]",1744161951.6924262,-8163832926060245032,0,[0.657496 1.258824 0.535248 0.       0.548464 1.001112],300,1,experiments/online/E6/P1/poisson1.xlsx,1,0,P1,Poisson1
5,4,[1.74416223e+09],-0.04744972938257448,"[141.5625 261.4375 140.0625 186.75   162.9375 229.1875 176.5625 107.
 141.5625 134.75   131.375  211.375  234.5    218.     177.     109.5
 137.8125 163.8125 327.3125 169.875  118.     706.5    175.3125 646.1875
 182.4375 129.125  132.     157.625  185.     215.8125 180.     120.
 107.     148.0625 180.125  129.75  ]",1744162251.6213512,-8163832926060245032,0,[0.26865 0.51435 0.2187  0.      0.2241  0.40905],300,1,experiments/online/E6/P1/poisson1.xlsx,1,0,P1,Poisson1
6,5,[1.74416253e+09],0.04650986164131684,"[105.0625 118.3125  94.5625 104.4375  55.375  122.375  192.25   148.25
 206.0625 166.3125 117.125  201.4375 359.125  216.4375 424.1875 177.3125
 561.625  165.      86.6875 105.875  147.5     90.25   155.8125 279.4375
 124.5625 127.5    185.8125 846.75   416.5625 208.5    152.4375 140.125
 155.125  207.4375 226.75   299.4375]",1744162552.5239491,-8163832926060245032,0,[0.26865 0.51435 0.2187  0.      0.2241  0.40905],300,1,experiments/online/E6/P1/poisson1.xlsx,1,0,P1,Poisson1
7,6,[1.74416283e+09],0.03422782334309943,"[ 95.5    122.4375  85.3125 107.625   63.     104.125  185.5625 175.5
 197.5625 172.1875 138.4375 191.1875 478.5    233.5625 532.125  216.
 295.1875 160.0625 100.25   104.3125 195.125  300.6875 159.875  162.5625
 135.4375 148.375  127.0625 636.375  470.5    198.3125 159.0625 183.875
 113.8125 250.4375 391.5625 157.0625]",1744162852.3992777,-8163832926060245032,0,[0.1393 0.2667 0.1134 0.     0.1162 0.2121],300,1,experiments/online/E6/P1/poisson1.xlsx,1,0,P1,Poisson1
8,7,[1.74416313e+09],-0.06620630987974463,"[105.4375 129.1875  93.9375 117.6875 104.625  142.6875 213.875  141.5
 170.9375 147.0625 134.375  180.5625 239.0625 192.5625 149.6875 147.375
 167.875  151.8125 144.     124.375  215.4375 213.1875 121.9375 302.25
 198.8125 125.4375 147.     275.25   323.375  221.375  163.25   174.0625
 166.125  162.1875 377.125  277.9375]",1744163155.313135,-8163832926060245032,0,[0.657496 1.258824 0.535248 0.       0.548464 1.001112],300,1,experiments/online/E6/P1/poisson1.xlsx,1,0,P1,Poisson1
9,8,[1.74416343e+09],0.027205661188049995,"[153.8125 221.125  175.625  196.1875 164.375  229.0625 183.125  155.
 140.3125 141.6875 110.6875 203.4375 246.5625 213.125  135.9375  99.1875
 146.0625 141.375  357.6875 394.8125  97.0625 476.4375 162.375  648.8125
 188.4375 140.3125 111.4375 154.3125 197.125  254.75   171.375  147.4375
 125.9375 157.8125 186.125  159.5   ]",1744163451.6785834,-8163832926060245032,0,[0.26865 0.51435 0.2187  0.      0.2241  0.40905],300,1,experiments/online/E6/P1/poisson1.xlsx,1,0,P1,Poisson1
10,9,[1.74416373e+09],0.00735694614256713,"[ 91.25    98.5625  88.      97.9375  69.625  119.625  178.625  205.0625
 195.75   209.875   99.9375 230.625  293.1875 268.9375 353.6875 240.8125
 345.5    176.875   55.1875  92.4375 175.5    190.75   136.375  255.9375
 139.9375 145.25   149.0625 170.4375 823.5    181.1875 196.375  127.375
 132.125  183.5    236.375  320.625 ]",1744163751.8229678,-8163832926060245032,0,[0.26865 0.51435 0.2187  0.      0.2241  0.40905],300,1,experiments/online/E6/P1/poisson1.xlsx,1,0,P1,Poisson1
