steps,reward,config_id,time,state,area,action,seed,frame,environment.zone,experiment.update_freq,compatibility_mode,filepath,experiment.step_duration,environment,algorithm
1,0.37555827187517954,-7474599382848119081,1744227940.560238,[1.74422791e+09],"[ 61.9375  84.375   90.6875 106.625   59.1875 188.6875 355.3125 147.3125
  86.8125  83.625   87.8125 135.9375  61.125   65.0625  70.75    62.0625
  85.125   72.8125  63.1875 105.875   70.75    98.8125  89.3125  86.3125
 116.125   97.5    158.5    124.3125 106.     178.5    106.8125 149.25
  91.3125 129.6875  57.1875  86.5   ]",[0.26865 0.51435 0.2187  0.      0.2241  0.40905],0,0,6,1,0,experiments/online/E6/P2/plant_reaction_test.xlsx,60,P2,Spreadsheet6
2,0.002149855152037521,-7474599382848119081,1744228004.7164328,[1.74422798e+09],"[ 71.4375  71.75    98.     100.875   59.     175.625  705.1875 142.8125
  78.625   97.3125  97.3125 142.5     56.1875  72.3125  71.875   57.8125
  87.5     79.625   59.125  107.125   72.3125  92.5625  85.9375 111.875
 125.25    93.5    150.375  112.6875 100.8125  91.     121.625  147.875
  99.4375 130.3125  66.75    83.4375]",[0.26865 0.51435 0.2187  0.      0.2241  0.40905],0,1,6,1,0,experiments/online/E6/P2/plant_reaction_test.xlsx,60,P2,Spreadsheet6
3,0.008507747447880106,-7474599382848119081,1744228068.1875393,[1.74422804e+09],"[  79.875    83.625    93.5     117.6875   66.625   185.625   153.375
  141.       80.       79.9375   89.6875  157.0625   86.8125   76.9375
   70.4375   57.     2011.1875   82.3125   54.9375   96.25     72.1875
   94.1875   70.5      91.25    121.5625   86.25    155.      107.3125
  103.125   114.4375  112.5625  133.625   100.375   109.1875   55.9375
   81.6875]",[0.26865 0.51435 0.2187  0.      0.2241  0.40905],0,2,6,1,0,experiments/online/E6/P2/plant_reaction_test.xlsx,60,P2,Spreadsheet6
4,-0.0024988809650439924,-7474599382848119081,1744228132.5886016,[1.7442281e+09],"[  66.4375   68.25     80.25    120.75     56.5625  186.625   391.875
  146.25     86.75     96.6875   74.8125  146.125    74.5625   62.25
   67.5      60.3125 1817.0625   66.0625   57.0625   91.1875   44.125
  107.3125   86.125   105.75    119.9375   82.0625  153.25    116.875
  108.5     164.625   116.5     121.3125   89.125   122.375    51.25
   85.5625]",[0.26865 0.51435 0.2187  0.      0.2241  0.40905],0,3,6,1,0,experiments/online/E6/P2/plant_reaction_test.xlsx,60,P2,Spreadsheet6
5,-0.025218775499114315,-7474599382848119081,1744228196.0066073,[1.74422817e+09],"[ 72.25    75.625   90.5625 107.6875  53.5625 200.125  377.4375 143.6875
  80.375   74.4375  93.6875 194.25    72.0625  77.25    77.25    60.5
  90.3125  79.4375  58.625   97.25    56.25    89.625   78.125  101.3125
 120.125   73.375  161.3125 115.4375  90.875  165.      99.5625 153.75
  82.0625 112.75    58.25    84.375 ]",[0.26865 0.51435 0.2187  0.      0.2241  0.40905],0,4,6,1,0,experiments/online/E6/P2/plant_reaction_test.xlsx,60,P2,Spreadsheet6
6,-0.027998878041147302,-7474599382848119081,1744228259.323839,[1.74422823e+09],"[ 73.4375  71.625   85.     104.25    61.875  171.1875 370.4375 151.6875
  80.375   89.3125 103.     143.75    57.25    70.75    71.75    53.8125
  81.1875  75.25    60.375   88.875   67.5625  98.875   76.6875  96.875
 119.875   83.875  151.8125 113.5     93.5625 116.8125 108.375  127.9375
  87.1875 110.8125  60.9375  79.375 ]",[0.26865 0.51435 0.2187  0.      0.2241  0.40905],0,5,6,1,0,experiments/online/E6/P2/plant_reaction_test.xlsx,60,P2,Spreadsheet6
7,0.09372619112824236,-7474599382848119081,1744228324.0559027,[1.74422829e+09],"[  73.9375   90.625    97.375   110.1875   54.3125  210.5     369.8125
  144.75     79.375    90.4375   94.      160.375    85.1875   81.875
   67.8125   55.4375 2035.5625   81.1875   53.625   100.0625   52.25
   96.875    60.0625  105.375   117.8125   94.1875  161.75    116.5625
   98.1875  163.75     97.8125  145.       97.5625  135.3125   64.
   87.9375]",[0.26865 0.51435 0.2187  0.      0.2241  0.40905],0,6,6,1,0,experiments/online/E6/P2/plant_reaction_test.xlsx,60,P2,Spreadsheet6
8,-0.03193229426278835,-7474599382848119081,1744228386.6468997,[1.74422836e+09],"[  88.1875   75.75     96.25     99.875    65.5625  182.4375  372.375
  145.125    74.6875   89.5      95.875   142.3125   77.3125   83.5625
   79.75     54.5625 1925.375    67.       54.125    91.875    64.375
  108.6875   70.3125   94.      117.75     77.8125  162.625   107.5625
  103.5625  178.6875  108.375   129.375    85.9375  121.8125   62.5
   86.0625]",[0.26865 0.51435 0.2187  0.      0.2241  0.40905],0,7,6,1,0,experiments/online/E6/P2/plant_reaction_test.xlsx,60,P2,Spreadsheet6
9,0.027913666648042675,-7474599382848119081,1744228450.2176707,[1.74422842e+09],"[  80.5625  100.8125   93.9375  110.8125   71.125   186.0625  364.5625
  149.3125   87.875    90.875   100.4375  146.25     80.5625   86.4375
   71.5625   52.3125 1991.625    80.       60.       92.625    59.625
   97.5      63.1875  100.75    116.75     86.5     162.      108.8125
  101.375   164.0625  100.875   147.1875   92.3125  114.1875   60.8125
   89.625 ]",[0.26865 0.51435 0.2187  0.      0.2241  0.40905],0,8,6,1,0,experiments/online/E6/P2/plant_reaction_test.xlsx,60,P2,Spreadsheet6
10,-0.034510315191934544,-7474599382848119081,1744228512.0347714,[1.74422848e+09],"[ 89.625   73.5     93.5625 102.3125  75.3125 186.5    394.125  144.0625
  69.875   95.375   90.25   151.6875  60.25    87.0625  70.1875  53.625
  84.25    70.8125  54.125  106.125   61.6875 107.75    75.3125 102.875
 122.75    90.6875 171.0625 120.75   102.3125 101.6875 112.4375 143.875
 115.125  121.      62.1875  97.375 ]",[0.26865 0.51435 0.2187  0.      0.2241  0.40905],0,9,6,1,0,experiments/online/E6/P2/plant_reaction_test.xlsx,60,P2,Spreadsheet6
