area,state,seed,action,time,frame,steps,config_id,reward,experiment.step_duration,compatibility_mode,filepath,experiment.update_freq,environment.zone,environment,algorithm
"[  79.75     74.       85.875   109.8125   69.5     190.625   382.5625
  158.375    74.125    97.375    84.625   142.5625   68.5      82.625
   74.4375   64.0625 2012.1875   65.6875   60.625    98.       50.625
   93.375    68.25    102.125   127.625    89.3125  150.25    120.25
   97.1875  101.1875   99.875   138.8125   84.75    117.125    69.9375
   90.3125]",[1.74423979e+09],0,[0.26865 0.51435 0.2187  0.      0.2241  0.40905],1744239818.9989674,0,1,-2625447392661257852,0.1373799100006476,60,0,experiments/online/E6/P3/plant_reaction_test.xlsx,1,6,P3,Spreadsheet6
"[  90.875    77.1875   81.9375  112.5625   67.5625  193.1875  150.25
  158.75     74.875    96.625    81.5625  150.       66.5625   74.
   74.6875   61.     1997.6875   66.4375   60.5625  107.9375   51.5625
   99.0625   87.375   116.5625  131.4375   90.0625  168.4375  117.9375
  110.25    171.5625  106.6875  125.75     89.5625  125.6875   62.375
   94.125 ]",[1.74423985e+09],0,[0.26865 0.51435 0.2187  0.      0.2241  0.40905],1744239882.4303129,1,2,-2625447392661257852,0.048841264265119706,60,0,experiments/online/E6/P3/plant_reaction_test.xlsx,1,6,P3,Spreadsheet6
"[ 80.125   66.75    99.375  114.0625  78.75   166.     324.25   153.875
  86.75    98.1875  90.6875 133.3125  86.0625  81.75    82.875   65.8125
  74.8125  63.1875  59.9375  96.1875  53.75    93.      84.4375 112.625
 131.5625  89.6875 163.0625 130.3125 101.4375 111.5625 111.875  148.9375
  93.25   124.5625  64.9375  96.875 ]",[1.74423992e+09],0,[0.26865 0.51435 0.2187  0.      0.2241  0.40905],1744239947.7372766,2,3,-2625447392661257852,-0.02170536736563669,60,0,experiments/online/E6/P3/plant_reaction_test.xlsx,1,6,P3,Spreadsheet6
"[ 72.375   75.375   97.5    116.625   63.125  186.125  364.75   156.8125
  86.6875  82.0625  91.5    138.      70.3125  72.9375  76.375   62.375
  86.5625  65.5     60.1875  95.3125  65.9375  97.9375  69.375  125.8125
 129.3125  96.3125 171.75   124.1875 110.375  111.9375 121.9375 153.375
  93.     124.1875  65.875   94.125 ]",[1.74423998e+09],0,[0.26865 0.51435 0.2187  0.      0.2241  0.40905],1744240012.810672,3,4,-2625447392661257852,-0.007371648253955899,60,0,experiments/online/E6/P3/plant_reaction_test.xlsx,1,6,P3,Spreadsheet6
"[ 64.125   69.3125  94.25   109.3125  70.75   200.4375 346.5    162.375
  76.75    91.5    105.6875 134.375   60.0625  73.375   75.5     65.375
  75.0625  63.9375  61.      97.25    51.5     90.375   73.4375 106.6875
 131.625   86.5625 162.6875 126.0625  95.625  104.1875 112.5625 134.9375
  85.25   121.5     68.6875 103.5625]",[1.74424005e+09],0,[0.26865 0.51435 0.2187  0.      0.2241  0.40905],1744240081.2812169,4,5,-2625447392661257852,-0.037715783448317414,60,0,experiments/online/E6/P3/plant_reaction_test.xlsx,1,6,P3,Spreadsheet6
"[ 72.8125  78.8125  83.375  118.      68.9375 181.5     92.6875 159.9375
  81.0625  78.875   99.1875 159.3125  70.25    81.875   75.75    61.5
  81.8125  66.5     61.6875  97.0625  64.8125  97.125   91.6875 106.8125
 131.5625  90.25   168.5    131.6875 124.625  104.3125 122.5    133.1875
  87.5    127.9375  66.8125  95.9375]",[1.74424013e+09],0,[0.26865 0.51435 0.2187  0.      0.2241  0.40905],1744240173.097308,5,6,-2625447392661257852,0.01827170837262608,60,0,experiments/online/E6/P3/plant_reaction_test.xlsx,1,6,P3,Spreadsheet6
"[ 80.125   72.25    86.1875 109.3125  52.1875 192.75   133.9375 155.375
  86.3125  80.8125  84.1875 140.0625  75.75    76.5625  78.6875  61.25
  83.25    69.1875  64.4375 106.5625  57.8125 100.1875  71.9375 104.4375
 134.      81.25   172.5625 124.8125 109.75   104.25   107.9375 138.875
  87.625  119.4375  67.8125  92.5   ]",[1.74424022e+09],0,[0.26865 0.51435 0.2187  0.      0.2241  0.40905],1744240250.6224756,6,7,-2625447392661257852,-0.009141151193005195,60,0,experiments/online/E6/P3/plant_reaction_test.xlsx,1,6,P3,Spreadsheet6
"[ 88.4375  76.125   92.75   105.4375  67.375  172.8125 363.875  161.5
  83.3125  93.375   88.0625 137.      75.625   76.125   79.125   60.1875
  79.6875  76.9375  65.8125  86.25    65.6875  92.625   70.625   98.3125
 131.      88.9375 172.     121.625  108.75    99.4375 111.6875 140.25
  83.1875 120.0625  64.625   96.8125]",[1.74424029e+09],0,[0.26865 0.51435 0.2187  0.      0.2241  0.40905],1744240320.3655276,7,8,-2625447392661257852,0.0003747396946083636,60,0,experiments/online/E6/P3/plant_reaction_test.xlsx,1,6,P3,Spreadsheet6
"[  78.375    87.4375   98.5625  111.6875   66.5     183.      137.5625
  157.5625   90.3125  108.1875   91.25    149.4375   78.0625   86.375
   77.       62.1875 2007.9375   67.25     66.5      99.8125   55.875
   94.       68.6875  108.5625  137.4375   82.125   172.8125  135.125
   91.25    114.5     107.1875  138.3125   94.8125  132.25     72.75
   93.125 ]",[1.74424037e+09],0,[0.26865 0.51435 0.2187  0.      0.2241  0.40905],1744240394.641113,8,9,-2625447392661257852,0.05908690066607783,60,0,experiments/online/E6/P3/plant_reaction_test.xlsx,1,6,P3,Spreadsheet6
"[ 90.5     88.375   98.125  123.6875  62.5625 180.25   397.375  164.
  83.6875 104.625  101.1875 195.625   86.125   89.375   84.3125  65.1875
  83.875   64.5     61.25    79.9375  62.25   100.8125  87.625  104.75
 120.625   86.5    169.     135.125   92.1875 165.9375 127.8125 160.3125
  91.875  114.625   64.75    94.5625]",[1.74424043e+09],0,[0.26865 0.51435 0.2187  0.      0.2241  0.40905],1744240459.8109274,9,10,-2625447392661257852,0.020644230203476485,60,0,experiments/online/E6/P3/plant_reaction_test.xlsx,1,6,P3,Spreadsheet6
"[  77.75     86.125   104.9375  122.4375   63.375   209.9375  413.9375
  164.625    92.625    96.3125   89.9375  148.6875   69.3125   85.
   82.5      62.8125 2185.75     74.       66.4375   96.6875   67.5
   99.25     69.6875  104.3125  138.3125  974.875   179.1875  121.125
   99.      158.375   113.375   145.6875   86.9375  121.625    67.
   91.5   ]",[1.7442405e+09],0,[0.26865 0.51435 0.2187  0.      0.2241  0.40905],1744240523.4582813,10,11,-2625447392661257852,0.03277436278968199,60,0,experiments/online/E6/P3/plant_reaction_test.xlsx,1,6,P3,Spreadsheet6
