DEBUG:exp:{'x': 36, 'pi': array([0.25, 0.25, 0.25, 0.25]), 'a': 2, 'action vals for state': array([ 0. ,  0. , -0.1,  0. ])}
DEBUG:exp:{'x': 36, 'pi': array([0.325, 0.325, 0.025, 0.325]), 'a': 1, 'action vals for state': array([  0.     , -10.00025,  -0.1    ,   0.     ])}
DEBUG:exp:{'x': 36, 'pi': array([0.475, 0.025, 0.025, 0.475]), 'a': 0, 'action vals for state': array([ -0.12525063, -10.00025   ,  -0.1       ,   0.        ])}
DEBUG:exp:{'x': 24, 'pi': array([0.025, 0.025, 0.025, 0.925]), 'a': 0, 'action vals for state': array([ -0.23828931, -10.00025   ,  -0.1       ,   0.        ])}
DEBUG:exp:{'x': 12, 'pi': array([0.025, 0.025, 0.025, 0.925]), 'a': 3, 'action vals for state': array([ -0.23828931, -10.00025   ,  -0.1       ,  -0.12584635])}
DEBUG:exp:{'x': 12, 'pi': array([0.025, 0.025, 0.925, 0.025]), 'a': 3, 'action vals for state': array([ -0.23828931, -10.00025   ,  -0.1       ,  -0.24842268])}
DEBUG:exp:{'x': 12, 'pi': array([0.025, 0.025, 0.925, 0.025]), 'a': 2, 'action vals for state': array([ -0.23828931, -10.00025   ,  -0.2254674 ,  -0.24842268])}
DEBUG:exp:{'x': 24, 'pi': array([0.025, 0.025, 0.925, 0.025]), 'a': 2, 'action vals for state': array([ -0.23828931, -10.00025   ,  -0.3499938 ,  -0.24842268])}
DEBUG:exp:{'x': 36, 'pi': array([0.925, 0.025, 0.025, 0.025]), 'a': 2, 'action vals for state': array([ -0.23828931, -10.00025   ,  -0.46353285,  -0.24842268])}
DEBUG:exp:{'x': 36, 'pi': array([0.925, 0.025, 0.025, 0.025]), 'a': 1, 'action vals for state': array([ -0.23828931, -19.04904728,  -0.46353285,  -0.24842268])}
DEBUG:exp:{'x': 36, 'pi': array([0.925, 0.025, 0.025, 0.025]), 'a': 0, 'action vals for state': array([ -0.38590465, -19.04904728,  -0.46353285,  -0.24842268])}
DEBUG:exp:{'x': 24, 'pi': array([0.025, 0.025, 0.025, 0.925]), 'a': 0, 'action vals for state': array([ -0.5200395 , -19.04904728,  -0.46353285,  -0.24842268])}
DEBUG:exp:{'x': 12, 'pi': array([0.025, 0.025, 0.025, 0.925]), 'a': 3, 'action vals for state': array([ -0.5200395 , -19.04904728,  -0.46353285,  -0.39664106])}
DEBUG:exp:{'x': 12, 'pi': array([0.025, 0.025, 0.025, 0.925]), 'a': 1, 'action vals for state': array([ -0.5200395 , -17.33091339,  -0.46353285,  -0.39664106])}
DEBUG:exp:{'x': 13, 'pi': array([0.025, 0.025, 0.025, 0.925]), 'a': 3, 'action vals for state': array([ -0.5200395 , -17.33091339,  -0.46353285,  -0.53945246])}
DEBUG:exp:{'x': 12, 'pi': array([0.025, 0.025, 0.925, 0.025]), 'a': 3, 'action vals for state': array([ -0.5200395 , -17.33091339,  -0.46353285,  -0.67436002])}
DEBUG:exp:{'x': 12, 'pi': array([0.025, 0.025, 0.925, 0.025]), 'a': 2, 'action vals for state': array([ -0.5200395 , -17.33091339,  -0.60636964,  -0.67436002])}
DEBUG:exp:{'x': 24, 'pi': array([0.925, 0.025, 0.025, 0.025]), 'a': 2, 'action vals for state': array([ -0.5200395 , -17.33091339,  -0.74036543,  -0.67436002])}
DEBUG:exp:{'x': 36, 'pi': array([0.925, 0.025, 0.025, 0.025]), 'a': 0, 'action vals for state': array([ -0.6630033 , -17.33091339,  -0.74036543,  -0.67436002])}
DEBUG:exp:{'x': 24, 'pi': array([0.925, 0.025, 0.025, 0.025]), 'a': 0, 'action vals for state': array([ -0.80489487, -17.33091339,  -0.74036543,  -0.67436002])}
DEBUG:exp:{'x': 12, 'pi': array([0.025, 0.025, 0.025, 0.925]), 'a': 0, 'action vals for state': array([ -0.93397412, -17.33091339,  -0.74036543,  -0.67436002])}
DEBUG:exp:{'x': 0, 'pi': array([0.025, 0.025, 0.025, 0.925]), 'a': 3, 'action vals for state': array([ -0.93397412, -17.33091339,  -0.74036543,  -0.81681545])}
DEBUG:exp:{'x': 0, 'pi': array([0.025, 0.025, 0.925, 0.025]), 'a': 3, 'action vals for state': array([ -0.93397412, -17.33091339,  -0.74036543,  -0.95132197])}
DEBUG:exp:{'x': 0, 'pi': array([0.025, 0.025, 0.925, 0.025]), 'a': 2, 'action vals for state': array([ -0.93397412, -17.33091339,  -0.88285322,  -0.95132197])}
DEBUG:exp:{'x': 12, 'pi': array([0.025, 0.025, 0.925, 0.025]), 'a': 2, 'action vals for state': array([ -0.93397412, -17.33091339,  -1.02427234,  -0.95132197])}
DEBUG:exp:{'x': 24, 'pi': array([0.925, 0.025, 0.025, 0.025]), 'a': 2, 'action vals for state': array([ -0.93397412, -17.33091339,  -1.15650398,  -0.95132197])}
DEBUG:exp:{'x': 36, 'pi': array([0.925, 0.025, 0.025, 0.025]), 'a': 3, 'action vals for state': array([ -0.93397412, -17.33091339,  -1.15650398,  -1.09117922])}
DEBUG:exp:{'x': 36, 'pi': array([0.925, 0.025, 0.025, 0.025]), 'a': 3, 'action vals for state': array([ -0.93397412, -17.33091339,  -1.15650398,  -1.2174004 ])}
DEBUG:exp:{'x': 36, 'pi': array([0.925, 0.025, 0.025, 0.025]), 'a': 0, 'action vals for state': array([ -1.07623136, -17.33091339,  -1.15650398,  -1.2174004 ])}
DEBUG:exp:{'x': 24, 'pi': array([0.925, 0.025, 0.025, 0.025]), 'a': 0, 'action vals for state': array([ -1.21742167, -17.33091339,  -1.15650398,  -1.2174004 ])}
DEBUG:exp:{'x': 12, 'pi': array([0.025, 0.025, 0.925, 0.025]), 'a': 0, 'action vals for state': array([ -1.35207046, -17.33091339,  -1.15650398,  -1.2174004 ])}
DEBUG:exp:{'x': 0, 'pi': array([0.025, 0.025, 0.925, 0.025]), 'a': 2, 'action vals for state': array([ -1.35207046, -17.33091339,  -1.29758116,  -1.2174004 ])}
DEBUG:exp:{'x': 12, 'pi': array([0.025, 0.025, 0.025, 0.925]), 'a': 2, 'action vals for state': array([ -1.35207046, -17.33091339,  -1.430384  ,  -1.2174004 ])}
DEBUG:exp:{'x': 24, 'pi': array([0.025, 0.025, 0.025, 0.925]), 'a': 3, 'action vals for state': array([ -1.35207046, -17.33091339,  -1.430384  ,  -1.35855332])}
DEBUG:exp:{'x': 24, 'pi': array([0.925, 0.025, 0.025, 0.025]), 'a': 3, 'action vals for state': array([ -1.35207046, -17.33091339,  -1.430384  ,  -1.49806413])}
DEBUG:exp:{'x': 24, 'pi': array([0.925, 0.025, 0.025, 0.025]), 'a': 0, 'action vals for state': array([ -1.49257833, -17.33091339,  -1.430384  ,  -1.49806413])}
DEBUG:exp:{'x': 12, 'pi': array([0.025, 0.025, 0.925, 0.025]), 'a': 0, 'action vals for state': array([ -1.62643491, -17.33091339,  -1.430384  ,  -1.49806413])}
DEBUG:exp:{'x': 0, 'pi': array([0.025, 0.025, 0.925, 0.025]), 'a': 2, 'action vals for state': array([ -1.62643491, -17.33091339,  -1.57079465,  -1.49806413])}
DEBUG:exp:{'x': 12, 'pi': array([0.025, 0.025, 0.025, 0.925]), 'a': 2, 'action vals for state': array([ -1.62643491, -17.33091339,  -1.70360647,  -1.49806413])}
DEBUG:exp:{'x': 24, 'pi': array([0.025, 0.025, 0.025, 0.925]), 'a': 3, 'action vals for state': array([ -1.62643491, -17.33091339,  -1.70360647,  -1.63848103])}
DEBUG:exp:{'x': 24, 'pi': array([0.925, 0.025, 0.025, 0.025]), 'a': 3, 'action vals for state': array([ -1.62643491, -17.33091339,  -1.70360647,  -1.77676066])}
DEBUG:exp:{'x': 24, 'pi': array([0.925, 0.025, 0.025, 0.025]), 'a': 0, 'action vals for state': array([ -1.76626485, -17.33091339,  -1.70360647,  -1.77676066])}
DEBUG:exp:{'x': 12, 'pi': array([0.025, 0.025, 0.925, 0.025]), 'a': 0, 'action vals for state': array([ -1.89940681, -17.33091339,  -1.70360647,  -1.77676066])}
DEBUG:exp:{'x': 0, 'pi': array([0.025, 0.025, 0.925, 0.025]), 'a': 2, 'action vals for state': array([ -1.89940681, -17.33091339,  -1.84334713,  -1.77676066])}
DEBUG:exp:{'x': 12, 'pi': array([0.025, 0.025, 0.025, 0.925]), 'a': 2, 'action vals for state': array([ -1.89940681, -17.33091339,  -1.97604694,  -1.77676066])}
DEBUG:exp:{'x': 24, 'pi': array([0.025, 0.025, 0.025, 0.925]), 'a': 3, 'action vals for state': array([ -1.89940681, -17.33091339,  -1.97604694,  -1.91645087])}
